,instant,dteday,season,yr,mnth,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
154,155,2011-06-04,2,0,6,6,0,1,26.0,30.0,31.0,12.0,1869,3473,5342
155,156,2011-06-05,2,0,6,0,0,2,27.0,31.0,44.0,14.0,1685,3221,4906
156,157,2011-06-06,2,0,6,1,1,1,28.0,31.0,40.0,12.0,673,3875,4548
157,158,2011-06-07,2,0,6,2,1,1,29.0,33.0,40.0,19.0,763,4070,4833
158,159,2011-06-08,2,0,6,3,1,1,32.0,36.0,42.0,14.0,676,3725,4401
159,160,2011-06-09,2,0,6,4,1,2,33.0,38.0,38.0,15.0,563,3352,3915
160,161,2011-06-10,2,0,6,5,1,1,31.0,35.0,41.0,14.0,815,3771,4586
161,162,2011-06-11,2,0,6,6,0,1,30.0,34.0,44.0,15.0,1729,3237,4966
162,163,2011-06-12,2,0,6,0,0,1,28.0,32.0,50.0,16.0,1467,2993,4460
163,164,2011-06-13,2,0,6,1,1,1,26.0,30.0,33.0,31.0,863,4157,5020
164,165,2011-06-14,2,0,6,2,1,1,25.0,30.0,34.0,27.0,727,4164,4891
165,166,2011-06-15,2,0,6,3,1,1,26.0,29.0,32.0,17.0,769,4411,5180
166,167,2011-06-16,2,0,6,4,1,2,26.0,30.0,46.0,21.0,545,3222,3767
167,168,2011-06-17,2,0,6,5,1,1,27.0,30.0,49.0,14.0,863,3981,4844
168,169,2011-06-18,2,0,6,6,0,1,29.0,32.0,45.0,12.0,1807,3312,5119
169,170,2011-06-19,2,0,6,0,0,2,29.0,32.0,45.0,10.0,1639,3105,4744
170,171,2011-06-20,2,0,6,1,1,2,26.0,30.0,50.0,16.0,699,3311,4010
171,172,2011-06-21,3,0,6,2,1,2,28.0,32.0,52.0,17.0,774,4061,4835
172,173,2011-06-22,3,0,6,3,1,1,30.0,35.0,47.0,17.0,661,3846,4507
173,174,2011-06-23,3,0,6,4,1,2,30.0,35.0,47.0,24.0,746,4044,4790
174,175,2011-06-24,3,0,6,5,1,1,30.0,33.0,38.0,22.0,969,4022,4991
175,176,2011-06-25,3,0,6,6,0,1,28.0,32.0,32.0,21.0,1782,3420,5202
176,177,2011-06-26,3,0,6,0,0,1,28.0,32.0,34.0,9.0,1920,3385,5305
177,178,2011-06-27,3,0,6,1,1,2,28.0,32.0,44.0,11.0,854,3854,4708
178,179,2011-06-28,3,0,6,2,1,1,31.0,35.0,42.0,14.0,732,3916,4648
179,180,2011-06-29,3,0,6,3,1,1,30.0,33.0,33.0,26.0,848,4377,5225
180,181,2011-06-30,3,0,6,4,1,1,29.0,32.0,29.0,19.0,1027,4488,5515
181,182,2011-07-01,3,0,7,5,1,1,30.0,33.0,27.0,10.0,1246,4116,5362
182,183,2011-07-02,3,0,7,6,0,1,30.0,33.0,30.0,12.0,2204,2915,5119
183,184,2011-07-03,3,0,7,0,0,2,29.0,33.0,46.0,23.0,2282,2367,4649
184,185,2011-07-04,3,0,7,1,0,2,30.0,33.0,43.0,8.0,3065,2978,6043
185,186,2011-07-05,3,0,7,2,1,1,31.0,35.0,40.0,13.0,1031,3634,4665
186,187,2011-07-06,3,0,7,3,1,1,30.0,34.0,50.0,15.0,784,3845,4629
187,188,2011-07-07,3,0,7,4,1,1,31.0,34.0,44.0,16.0,754,3838,4592
188,189,2011-07-08,3,0,7,5,1,2,29.0,34.0,51.0,23.0,692,3348,4040
189,190,2011-07-09,3,0,7,6,0,1,30.0,33.0,41.0,17.0,1988,3348,5336
190,191,2011-07-10,3,0,7,0,0,1,31.0,35.0,39.0,18.0,1743,3138,4881
191,192,2011-07-11,3,0,7,1,1,1,31.0,36.0,43.0,28.0,723,3363,4086
192,193,2011-07-12,3,0,7,2,1,1,33.0,37.0,37.0,20.0,662,3596,4258
193,194,2011-07-13,3,0,7,3,1,1,31.0,34.0,42.0,15.0,748,3594,4342
194,195,2011-07-14,3,0,7,4,1,1,28.0,32.0,32.0,24.0,888,4196,5084
195,196,2011-07-15,3,0,7,5,1,1,27.0,31.0,40.0,18.0,1318,4220,5538
196,197,2011-07-16,3,0,7,6,0,1,28.0,32.0,39.0,21.0,2418,3505,5923
197,198,2011-07-17,3,0,7,0,0,1,29.0,33.0,40.0,25.0,2006,3296,5302
198,199,2011-07-18,3,0,7,1,1,1,31.0,35.0,44.0,22.0,841,3617,4458
199,200,2011-07-19,3,0,7,2,1,1,32.0,37.0,44.0,13.0,752,3789,4541
200,201,2011-07-20,3,0,7,3,1,1,32.0,37.0,47.0,11.0,644,3688,4332
201,202,2011-07-21,3,0,7,4,1,2,33.0,41.0,46.0,22.0,632,3152,3784
202,203,2011-07-22,3,0,7,5,1,1,35.0,42.0,39.0,13.0,562,2825,3387
203,204,2011-07-23,3,0,7,6,0,1,35.0,40.0,34.0,13.0,987,2298,3285
204,205,2011-07-24,3,0,7,0,0,1,34.0,40.0,37.0,17.0,1050,2556,3606
205,206,2011-07-25,3,0,7,1,1,1,30.0,36.0,51.0,9.0,568,3272,3840
206,207,2011-07-26,3,0,7,2,1,1,32.0,35.0,36.0,20.0,750,3840,4590
207,208,2011-07-27,3,0,7,3,1,1,32.0,35.0,27.0,18.0,755,3901,4656
208,209,2011-07-28,3,0,7,4,1,1,32.0,37.0,39.0,18.0,606,3784,4390
209,210,2011-07-29,3,0,7,5,1,1,34.0,39.0,36.0,17.0,670,3176,3846
210,211,2011-07-30,3,0,7,6,0,1,33.0,36.0,31.0,17.0,1559,2916,4475
211,212,2011-07-31,3,0,7,0,0,1,33.0,36.0,32.0,16.0,1524,2778,4302
212,213,2011-08-01,3,0,8,1,1,1,32.0,35.0,37.0,16.0,729,3537,4266
213,214,2011-08-02,3,0,8,2,1,1,32.0,35.0,33.0,21.0,801,4044,4845
214,215,2011-08-03,3,0,8,3,1,2,30.0,34.0,44.0,14.0,467,3107,3574
215,216,2011-08-04,3,0,8,4,1,2,29.0,33.0,51.0,20.0,799,3777,4576
216,217,2011-08-05,3,0,8,5,1,1,29.0,33.0,42.0,18.0,1023,3843,4866
217,218,2011-08-06,3,0,8,6,0,2,29.0,34.0,51.0,23.0,1521,2773,4294
218,219,2011-08-07,3,0,8,0,0,1,30.0,36.0,50.0,20.0,1298,2487,3785
219,220,2011-08-08,3,0,8,1,1,1,31.0,35.0,40.0,19.0,846,3480,4326
220,221,2011-08-09,3,0,8,2,1,1,32.0,36.0,38.0,15.0,907,3695,4602
221,222,2011-08-10,3,0,8,3,1,1,31.0,34.0,28.0,20.0,884,3896,4780
222,223,2011-08-11,3,0,8,4,1,1,29.0,33.0,28.0,16.0,812,3980,4792
223,224,2011-08-12,3,0,8,5,1,1,29.0,33.0,28.0,13.0,1051,3854,4905
224,225,2011-08-13,3,0,8,6,0,2,28.0,32.0,49.0,21.0,1504,2646,4150
225,226,2011-08-14,3,0,8,0,0,2,28.0,31.0,55.0,22.0,1338,2482,3820
226,227,2011-08-15,3,0,8,1,1,1,27.0,31.0,48.0,21.0,775,3563,4338
227,228,2011-08-16,3,0,8,2,1,1,29.0,32.0,39.0,24.0,721,4004,4725
228,229,2011-08-17,3,0,8,3,1,1,30.0,33.0,39.0,14.0,668,4026,4694
229,230,2011-08-18,3,0,8,4,1,1,29.0,33.0,44.0,23.0,639,3166,3805
230,231,2011-08-19,3,0,8,5,1,2,28.0,32.0,48.0,14.0,797,3356,4153
231,232,2011-08-20,3,0,8,6,0,1,29.0,32.0,45.0,10.0,1914,3277,5191
232,233,2011-08-21,3,0,8,0,0,1,29.0,34.0,52.0,25.0,1249,2624,3873
233,234,2011-08-22,3,0,8,1,1,1,28.0,32.0,31.0,28.0,833,3925,4758
234,235,2011-08-23,3,0,8,2,1,1,26.0,30.0,31.0,15.0,1281,4614,5895
235,236,2011-08-24,3,0,8,3,1,1,28.0,32.0,41.0,25.0,949,4181,5130
236,237,2011-08-25,3,0,8,4,1,2,28.0,32.0,52.0,21.0,435,3107,3542
237,238,2011-08-26,3,0,8,5,1,1,29.0,33.0,51.0,8.0,768,3893,4661
238,239,2011-08-27,3,0,8,6,0,2,28.0,32.0,57.0,38.0,226,889,1115
239,240,2011-08-28,3,0,8,0,0,1,29.0,32.0,38.0,30.0,1415,2919,4334
240,241,2011-08-29,3,0,8,1,1,1,26.0,30.0,37.0,16.0,729,3905,4634
241,242,2011-08-30,3,0,8,2,1,1,26.0,30.0,37.0,13.0,775,4429,5204
242,243,2011-08-31,3,0,8,3,1,1,27.0,31.0,40.0,8.0,688,4370,5058
243,244,2011-09-01,3,0,9,4,1,1,27.0,31.0,43.0,14.0,783,4332,5115
244,245,2011-09-02,3,0,9,5,1,2,26.0,30.0,49.0,14.0,875,3852,4727
245,246,2011-09-03,3,0,9,6,0,1,27.0,32.0,48.0,19.0,1935,2549,4484
246,247,2011-09-04,3,0,9,0,0,1,29.0,33.0,50.0,21.0,2521,2419,4940
247,248,2011-09-05,3,0,9,1,0,2,28.0,31.0,53.0,21.0,1236,2115,3351
248,249,2011-09-06,3,0,9,2,1,3,22.0,26.0,59.0,34.0,204,2506,2710
249,250,2011-09-07,3,0,9,3,1,3,25.0,27.0,61.0,10.0,118,1878,1996
250,251,2011-09-08,3,0,9,4,1,3,26.0,28.0,63.0,19.0,153,1689,1842
251,252,2011-09-09,3,0,9,5,1,2,27.0,29.0,60.0,12.0,417,3127,3544
252,253,2011-09-10,3,0,9,6,0,1,27.0,30.0,51.0,15.0,1750,3595,5345
253,254,2011-09-11,3,0,9,0,0,1,27.0,30.0,48.0,12.0,1633,3413,5046
254,255,2011-09-12,3,0,9,1,1,1,26.0,30.0,46.0,9.0,690,4023,4713
255,256,2011-09-13,3,0,9,2,1,1,27.0,30.0,48.0,14.0,701,4062,4763
256,257,2011-09-14,3,0,9,3,1,1,28.0,31.0,47.0,17.0,647,4138,4785
257,258,2011-09-15,3,0,9,4,1,2,24.0,28.0,48.0,27.0,428,3231,3659
258,259,2011-09-16,3,0,9,5,1,2,19.0,23.0,40.0,16.0,742,4018,4760
259,260,2011-09-17,3,0,9,6,0,2,20.0,24.0,48.0,19.0,1434,3077,4511
260,261,2011-09-18,3,0,9,0,0,1,21.0,25.0,47.0,18.0,1353,2921,4274
261,262,2011-09-19,3,0,9,1,1,2,23.0,26.0,46.0,15.0,691,3848,4539
262,263,2011-09-20,3,0,9,2,1,2,23.0,27.0,59.0,13.0,438,3203,3641
263,264,2011-09-21,3,0,9,3,1,2,24.0,28.0,60.0,10.0,539,3813,4352
264,265,2011-09-22,3,0,9,4,1,2,26.0,28.0,60.0,13.0,555,4240,4795
265,266,2011-09-23,4,0,9,5,1,2,25.0,26.0,65.0,8.0,258,2137,2395
266,267,2011-09-24,4,0,9,6,0,2,25.0,28.0,58.0,8.0,1776,3647,5423
267,268,2011-09-25,4,0,9,0,0,2,26.0,29.0,57.0,5.0,1544,3466,5010
268,269,2011-09-26,4,0,9,1,1,2,27.0,29.0,57.0,11.0,684,3946,4630
269,270,2011-09-27,4,0,9,2,1,2,26.0,29.0,59.0,12.0,477,3643,4120
270,271,2011-09-28,4,0,9,3,1,2,26.0,29.0,57.0,15.0,480,3427,3907
271,272,2011-09-29,4,0,9,4,1,1,25.0,29.0,47.0,17.0,653,4186,4839
272,273,2011-09-30,4,0,9,5,1,1,23.0,27.0,43.0,21.0,830,4372,5202
273,274,2011-10-01,4,0,10,6,0,2,17.0,21.0,51.0,29.0,480,1949,2429
274,275,2011-10-02,4,0,10,0,0,2,15.0,17.0,53.0,22.0,616,2302,2918
275,276,2011-10-03,4,0,10,1,1,2,16.0,20.0,51.0,8.0,330,3240,3570
276,277,2011-10-04,4,0,10,2,1,1,20.0,24.0,48.0,21.0,486,3970,4456
277,278,2011-10-05,4,0,10,3,1,1,22.0,26.0,43.0,18.0,559,4267,4826
278,279,2011-10-06,4,0,10,4,1,1,20.0,24.0,42.0,13.0,639,4126,4765
279,280,2011-10-07,4,0,10,5,1,1,21.0,25.0,46.0,2.0,949,4036,4985
280,281,2011-10-08,4,0,10,6,0,1,21.0,26.0,47.0,5.0,2235,3174,5409
281,282,2011-10-09,4,0,10,0,0,1,22.0,26.0,49.0,6.0,2397,3114,5511
282,283,2011-10-10,4,0,10,1,0,1,23.0,27.0,49.0,4.0,1514,3603,5117
283,284,2011-10-11,4,0,10,2,1,2,23.0,27.0,54.0,14.0,667,3896,4563
284,285,2011-10-12,4,0,10,3,1,3,22.0,26.0,61.0,25.0,217,2199,2416
285,286,2011-10-13,4,0,10,4,1,2,24.0,28.0,60.0,14.0,290,2623,2913
286,287,2011-10-14,4,0,10,5,1,2,23.0,26.0,48.0,22.0,529,3115,3644
287,288,2011-10-15,4,0,10,6,0,1,21.0,25.0,32.0,26.0,1899,3318,5217
288,289,2011-10-16,4,0,10,0,0,1,21.0,25.0,33.0,28.0,1748,3293,5041
289,290,2011-10-17,4,0,10,1,1,1,22.0,26.0,39.0,18.0,713,3857,4570
290,291,2011-10-18,4,0,10,2,1,2,22.0,26.0,47.0,11.0,637,4111,4748
291,292,2011-10-19,4,0,10,3,1,3,22.0,26.0,60.0,24.0,254,2170,2424
292,293,2011-10-20,4,0,10,4,1,1,20.0,23.0,43.0,42.0,471,3724,4195
293,294,2011-10-21,4,0,10,5,1,1,18.0,21.0,38.0,22.0,676,3628,4304
